Date,Hawler,Sulaymani,Duhok,Halabja,Total,RunningSum
2020-03-01,0,4,0,0,4,4
2020-03-02,0,0,0,0,0,4
2020-03-03,0,1,0,0,1,5
2020-03-04,0,3,0,0,3,8
2020-03-05,0,0,0,0,0,8
2020-03-06,2,0,0,0,2,10
2020-03-07,0,0,0,0,0,10
2020-03-08,1,2,0,0,3,13
2020-03-09,1,0,0,0,1,14
2020-03-10,1,1,0,0,2,16
2020-03-11,4,0,0,0,4,20
2020-03-12,0,0,0,0,0,20
2020-03-13,0,7,0,1,8,28
2020-03-14,0,0,0,0,0,28
2020-03-15,0,6,0,0,6,34
2020-03-16,0,3,0,0,3,37
2020-03-17,0,1,0,0,1,38
2020-03-18,0,1,0,0,1,39
2020-03-19,0,1,1,0,2,41
2020-03-20,0,6,0,0,6,47
2020-03-21,1,6,0,0,7,54
2020-03-22,12,10,0,0,22,76
2020-03-23,0,8,1,0,9,85
2020-03-24,6,6,0,0,12,97
2020-03-25,2,1,0,0,3,100
2020-03-26,3,1,0,0,4,104
2020-03-27,4,0,5,1,10,114
2020-03-28,8,1,2,0,11,125
2020-03-29,3,0,0,0,3,128
2020-03-30,9,19,0,6,34,162
2020-03-31,0,5,3,0,8,170
2020-04-01,6,15,0,8,29,198
2020-04-02,2,0,0,0,2,200
2020-04-03,9,1,0,3,13,213
2020-04-04,0,1,0,0,1,214
2020-04-05,18,3,0,0,21,235
2020-04-06,41,2,0,1,44,279
2020-04-07,5,1,3,0,9,288
2020-04-08,20,0,0,0,20,309
2020-04-09,10,4,0,0,14,323
2020-04-10,0,1,0,0,1,324
2020-04-11,1,4,0,0,5,329
2020-04-12,0,0,0,0,0,329
2020-04-13,0,2,0,0,2,331
2020-04-14,0,1,0,0,1,332
2020-04-15,0,1,0,2,3,335
2020-04-16,0,2,0,0,2,337
2020-04-17,0,0,0,0,0,337
2020-04-18,0,0,0,0,0,337
2020-04-19,0,0,0,0,0,337
2020-04-20,0,0,0,0,0,337
2020-04-21,0,0,0,0,0,337
2020-04-22,0,0,0,0,0,337
2020-04-23,0,1,1,0,2,339
2020-04-24,1,2,2,0,5,344
2020-04-25,0,0,0,0,0,344
2020-04-26,2,0,1,0,3,347
2020-04-27,5,3,0,0,8,355
2020-04-28,11,0,0,0,11,366
2020-04-29,0,1,0,0,1,367
2020-04-30,13,0,0,0,13,380
2020-05-01,1,0,0,0,1,381
2020-05-02,6,0,0,0,6,387
2020-05-03,0,0,0,0,0,387
2020-05-04,0,0,0,0,0,387
2020-05-05,4,0,0,0,4,391
2020-05-06,0,0,0,0,0,391
2020-05-07,0,0,0,0,0,391
2020-05-08,0,0,0,0,0,391
2020-05-09,0,0,0,0,0,391
2020-05-10,0,0,0,0,0,391
2020-05-11,0,0,0,0,0,391
2020-05-12,0,0,0,0,0,391
2020-05-13,0,1,0,0,1,392
2020-05-14,0,5,0,0,5,397
2020-05-15,0,0,0,0,0,397
2020-05-16,0,7,0,0,7,404
2020-05-17,0,9,0,0,9,413
2020-05-18,0,1,0,0,1,414
2020-05-19,1,9,0,0,10,424
2020-05-20,15,3,0,0,18,442
2020-05-21,5,5,0,0,10,452
2020-05-22,1,7,1,0,9,461
2020-05-23,1,8,6,0,15,476
2020-05-24,10,10,0,0,20,496
2020-05-25,6,0,0,0,6,502
2020-05-26,4,1,0,0,5,507
2020-05-27,9,16,0,0,25,532
2020-05-28,12,22,0,0,34,566
2020-05-29,2,6,1,0,9,575
2020-05-30,3,24,4,0,31,606
2020-05-31,0,102,2,0,104,710
2020-06-01,1,28,6,0,35,745
2020-06-02,6,46,33,0,85,830
2020-06-03,4,52,19,0,75,905
2020-06-04,12,89,6,3,110,1015
2020-06-05,29,45,0,0,74,1089
2020-06-06,0,91,3,0,94,1183
2020-06-07,54,73,2,0,129,1312
2020-06-08,44,74,1,2,121,1433
2020-06-09,34,137,2,0,173,1606
2020-06-10,37,58,3,5,103,1709
2020-06-11,61,114,2,5,182,1891
2020-06-12,20,80,14,0,114,2005
2020-06-13,36,136,9,0,181,2101
2020-06-14,37,78,0,6,121,2307
2020-06-15,32,127,2,5,166,2473
2020-06-16,30,152,0,0,182,2655
2020-06-17,29,124,1,12,166,2821
2020-06-18,47,159,4,14,224,3045
2020-06-19,40,185,3,0,228,3273
2020-06-20,19,238,2,7,266,3539
2020-06-21,63,245,6,12,326,3865
2020-06-22,34,250,3,12,299,4164
2020-06-23,70,213,0,16,299,4463
2020-06-24,41,173,2,0,216,4679
2020-06-25,30,162,3,0,195,4874
2020-06-26,50,255,6,0,311,5185
2020-06-27,56,253,3,36,348,5533
2020-06-28,40,86,4,9,139,5672
2020-06-29,85,132,1,14,232,5904
2020-06-30,58,181,1,0,240,6144
2020-07-01,80,161,0,18,259,6403
2020-07-02,73,177,4,0,254,6657
2020-07-03,39,143,5,0,187,6844
2020-07-04,25,176,3,0,204,7048
2020-07-05,31,227,2,7,267,7315
2020-07-06,137,172,15,0,324,7639
2020-07-07,186,275,25,9,495,8134
